method,SID,age,list,sex,hispanic,ethnicity,english,num_lang,parent_ed,other_ed,premie,notes,exclusion.crit,exclude
storybook,2014_8_6_63,2.010958904,1,female,no,white,100,1,3,3,0,"EXCLUDE- didn't answer several slides, tapped on everything and kept flipping pages, wasn't listening, etc. ",non-compliant,1
storybook,2014_8_6_64,3.78630137,2,female,yes,other,50,2,2,2,0,EXCLUDE- language 50% ,lang,1
storybook,2014_8_6_65,3.405479452,2,male,no,asian,75,2,6,4,0,,,0
storybook,2014_8_6_66,4.849315068,2,male,no,asian/white,100,1,4,4,0,No video but data is all good,,0
storybook,2014_8_11_67,1.802739726,2,,,,,,,,,"No data collected, only answered one",non-compliant,1
storybook,2014_8_11_68,3.898630137,2,male,no,white,100,1,2,2,0,,,0
storybook,2014_8_11_69,4.709589041,2,female,no ,asian,50,2,4,4,0,EXCLUDE- language 50% but she got them all correct and understood everything,lang,1
storybook,2014_8_11_70,4.41369863,2,female,no,white,90,2,6,4,0,,,0
storybook,2014_8_11_71,2.323287671,2,female,no,white,90,2,6,4,0,,,0
storybook,2014_8_11_72,4.016438356,2,female,no,white,100,1,4,4,0,,,0
storybook,2014_8_11_73,1.879452055,2,male,no,white/asian/native hawaiian,100,2,4,4,0,,,0
storybook,2014_8_11_74,3.920547945,2,male,no,white,100,1,5,3,0,,,0
storybook,2014_8_11_75,3.301369863,2,male,no,white,100,1,6,6,0,"Distracted, brother is in first part of video then older brother wanted to do it and completed ",interference,1
storybook,2014_8_11_76,4.701369863,2,female,no,white,50,2,4,6,0,EXCLUDE- language 50% but spoke and understood perfectly,lang,1
storybook,2014_8_11_77,2.468493151,2,female,no,white,25,2,4,6,0,EXCLUDE- language 25% but spoke and understood perfectly,lang,1
storybook,2014_8_11_78,3.238356164,2,male,no,white/asian,100,1,6,4,0,,,0
storybook,2014_8_11_79,5.019178082,2,male,no,white/asian,100,1,6,4,0,Just turned 5 a few days before,age,1
storybook,2014_8_11_80,4.101369863,2,female,no,asian,75,3,6,4,0,,,0
storybook,2014_8_11_81,3.030136986,2,male,no,white,50,2,6,6,0,EXCLUDE- language 50% but spoke and understood all of it and got 100% correct,lang,1
storybook,2014_8_13_82,3.97260274,2,male,no,white/asian/native hawaiian,100,1,4,4,0,,,0
storybook,2014_8_13_83,2.701369863,2,female,yes,white,100,1,6,4,0,,,0
storybook,2014_8_13_84,3.975342466,2,female,no,white,100,1,3,4,0,,,0
storybook,2014_8_13_85,4.526027397,2,male,no,white,100,1,6,6,0,,,0
storybook,2014_8_13_86,2.224657534,2,female,no,white,100,1,6,6,0,,,0
storybook,2014_8_13_87,2.087671233,2,male,no,asian,50,2,3,,0,EXCLUDE- language and did not complete,lang,1
storybook,2014_8_13_88,2.402739726,2,female,no,white,100,1,6,4,0,,,0
storybook,2014_8_13_89,4.575342466,2,female,no,asian,75,2,4,6,0,,,0
storybook,2014_8_22_90,4.273972603,2,male,no,white,90,1,6,4,0,,,0
storybook,2014_8_22_91,4.821917808,2,male,no,white,100,1,6,6,0,,,0
storybook,2014_8_22_92,2.824657534,2,male,no,white,100,1,6,6,0,sibling interference and occasional parent praise,interference,1
storybook,2014_8_22_93,4.131506849,2,male,no,asian,90,2,4,4,0,,,0
storybook,2014_8_22_94,1.37260274,2,female,no,white,90,2,4,4,0,"couldn't answer some trials, skipped around and only did roughly 50%",,0
storybook,2014_8_24_95,4.506849315,2,female,no,asian,90,2,6,6,0,,,0
storybook,2014_8_24_96,2.183561644,2,female,no,asian,75,2,6,6,0,Slight sibling interference at beginning but stopped and a couple parental praises,interference,1
storybook,2014_8_24_97,2.142465753,2,female,no,white,100,1,4,3,0,,,0
storybook,2014_8_24_98,1.58630137,2,male,no,white,90,3,6,6,0,,,0
storybook,2014_8_24_99,1.816438356,2,female,,mixed,50,3,6,6,0,EXCLUDE- language 50%; some parental interference/translating at the beginning but otherwise did perfect,lang,1
storybook,2014_8_24_100,1.468493151,2,female,no,asian,100,2,6,6,0,"EXCLUDE- no data collected, child would not point to any of the pictures",non-compliant,1
storybook,2014_8_26_101,1.139726027,2,male,no,asian,50,2,6,6,0,"EXCLUDE- language 50%; no data collected, child would not point to any of the pictures",lang,1
storybook,2014_9_9_102,1.556164384,1,male,no,white,100,1,4,6,0,,,0
storybook,2014_9_9_103,1.312328767,1,male,no,asian,90,2,4,6,0,,,0
storybook,2014_9_9_104,1.523287671,1,male,no,white,100,1,4,4,0,EXCLUDE- only answered a couple of questions,,0
storybook,2014_9_9_105,1.715068493,1,female,no,white,90,2,4,3,0,,,0
storybook,2014_9_13_106,1.153424658,1,male,no,white,100,2,4,4,0,EXCLUDE- no data collected,non-compliant,1
storybook,2014_9_13_107,1.295890411,1,female,decline,decline,100,1,6,6,0,,,0
storybook,2014_9_13_108,1.64109589,2,female,no,white,100,1,6,6,0,,,0
storybook,2014_9_13_109,1.446575342,2,male,no,mixed (white/asian),50,2,6,4,0,EXCLUDE- language 50% and only pointed to four pictures,lang,1
storybook,2014_9_13_110,1.98630137,2,male,no,asian/white,100,1,6,6,0,,,0
storybook,2014_9_30_111,1.630136986,2,female,no,Indian,50,2,4,4,0,EXCLUDE- language 50% and child needed much coaxing to participate,lang,1
