subid	age	agegroup	gender (m)	hisp (Y)	ethnicity	english	numlang	parented	premature	list
2014_09_09_87	4.369863014	4	1	2	0	6	1	4	0	1
2014_09_09_88	2.802739726	2	2	2	0	6	1	4	0	1
2014_09_09_89	1.378082192	1	2	2	0	2	3	6	0	1
2014_09_09_90	4.279452055	4	2	2	0	5	1	6	0	1
2014_09_09_91	1.169863014	1	1	2	0	5	1	6	0	1
2014_09_09_92	NaN	NaN	1	2	0	1	1	4	0	1
2014_09_10_93	1.454794521	1	2	2	0	6	1	6	0	1
2014_09_10_94	4.942465753	4	2	2	0	6	1	4	0	1
2014_09_10_95	3.936986301	3	1	2	0	6	1	4	0	1
2014_09_10_96	1.687671233	1	1	1	0	6	1	4	0	1
2014_09_10_97	1.210958904	1	2	2	0	5	2	3	1	1
2014_09_13_98	4.482191781	4	2	NaN	0	6	1	6	0	1
2014_09_13_99	4.416438356	4	1	2	0	6	2	6	0	1
2014_09_13_100	1.112328767	1	1	2	0	6	1	4	0	1
2014_09_13_101	1.947945205	1	1	1	0	6	1	NaN	1	1
2014_09_13_102	1.446575342	1	1	2	0	4	2	6	0	1
2014_09_13_103	1.24109589	1	2	2	0	5	2	6	0	1
2014_10_04_104	1.487671233	1	2	2	0	3	2	6	0	2
2014_10_04_105	1.997260274	1	1	2	0	3	3	6	0	2
2014_10_04_106	1.550684932	1	2	2	0	4	3	6	0	2
2014_10_04_107	1.328767123	1	2	2	0	1	2	6	0	2
2014_10_04_108	1.424657534	1	1	2	0	3	2	4	0	2
2014_10_04_109	1.41369863	1	2	2	0	4	3	4	0	2
2014_10_04_110	1.147945205	1	1	2	0	3	2	6	0	2
2014_10_04_111	1.380821918	1	1	2	0	5	2	4	0	2
2014_10_04_112	1.230136986	1	2	2	0	3	2	6	0	2
2014_10_11_113	1.624657534	1	2	2	0	3	3	6	0	2
2014_10_25_114	1.616438356	1	1	2	0	6	1	6	0	2
2014_10_25_115	1.323287671	1	2	2	0	1	2	6	0	2
2014_10_25_116	1.671232877	1	1	2	0	2	2	5	0	2
2014_10_25_117	1.010958904	1	1	2	0	6	1	6	0	2
2014_10_25_118	1.38630137	1	2	2	0	4	2	6	0	2
2014_11_15_119	1.21369863	1	2	2	0	6	0	6	0	2
2014_11_15_120	1.276712329	1	2	2	0	2	2	6	0	2
2014_11_15_121	1.547945205	1	2	1	0	6	0	4	0	2
